Source Package,URL_lookaside,SHA256_lookaside,Error_lookaside,File Name,Protocol,URL_source,SHA256_source,Error_source,SHA256_match,has_error,File Extension,source_number,num_versions_uploaded_to_lookaside,status,Error_source_normalized
airnef,https://src.fedoraproject.org/repo/pkgs/airnef/airnef_v1.1_Source.zip/sha512/b45b0591e42179d1e5b5eea9ede6762d311cd0642585c54568c90111424e2ca316aa444d772b4855afe42f25b6cc4b3e1b78bb5a0c2a4cb52440535894a5cba6/airnef_v1.1_Source.zip,58610d66fe0adc902bfa137f9c05dba5194e96f60c659d4fa9ce823c4e890067,,airnef_v1.1_Source.zip,http:,http://www.testcams.com/airnef/Version_1.1/airnef_v1.1_Source.zip,75a19a966e0897f3a5123b2f41bb8e12eb661ee0ca653be3b32dd13b73c45c25,,false,false,zip,0,1,very_suspicious,
aisleriot,https://src.fedoraproject.org/repo/pkgs/aisleriot/aisleriot-3.22.21.tar.bz2/sha512/0f454b7770ea24ce6837e43f4bf5068ef89bea062f7c80d621cdeabbc261dae083859d966c6f8809c437f04c221e89ea3bfdaebb4d390e65b4b000feb197d582/aisleriot-3.22.21.tar.bz2,a25eead133c9e25f7dbe3a1eb84ecc10f0b0541328129bdb9bfa39fcbe61652f,,aisleriot-3.22.21.tar.bz2,https:,https://gitlab.gnome.org/GNOME/${name}/-/archive/3.22.21/aisleriot-3.22.21.tar.bz2,1c2ff187e3b1769cb812086bb1e9934a04686ac218fa1e7aa5ea5432c4ccce31,,false,false,tar.bz2,0,1,very_suspicious,
alchemyquest,https://src.fedoraproject.org/repo/pkgs/alchemyquest/alchemyquest-0.5.2.tgz/sha512/73d9b8b2eee38ea85e399740b5b6406ae339335b37675942eed086f91023707112ae8bee0f4d9aa7fa5fbe7f448b23062e49ba4ba1616b5fbe72d52376cb9a81/alchemyquest-0.5.2.tgz,46d02e0d465ab2dee783d516b46ec7c491987c00a74822c43a86572fb7dcb359,,alchemyquest-0.5.2.tgz,http:,http://identicalsoftware.com/alchemyquest//alchemyquest-0.5.2.tgz,dbf63bd7fd9a32cb6a35ec1c1b2eb34a4d5038f0fa7fbdd94304f91687d8b4a6,,false,false,tgz,0,1,very_suspicious,
amavisd-milter,https://src.fedoraproject.org/repo/pkgs/amavisd-milter/amavisd-milter-1.7.2.tar.gz/sha512/4249fc380b14a6a527576c6e35772df6a7e735d83514fa0977a6de627e6f8a264c5c497ccce284869d0d906ad6cce3ae928d9da270778759315a618fa5aecdd1/amavisd-milter-1.7.2.tar.gz,34a2a2068fe11753ef1e4bdd7b7077cad8f4d4e3e797de85a6737e876347b843,,amavisd-milter-1.7.2.tar.gz,https:,https://github.com/prehor/amavisd-milter/releases/download/1.7.2/amavisd-milter-1.7.2.tar.gz,7b7b8caa4d399f6418a6f9d66af979e583c5f9cb0765073663f8531bee0091f0,,false,false,tar.gz,0,1,very_suspicious,
ampr-ripd,https://src.fedoraproject.org/repo/pkgs/ampr-ripd/ampr-ripd-2.4.1.tgz/sha512/26a4265a7be8a1d05836d106b5ea1f544739f99f3d4426038191453accb96945bbe12ddb72c4bdd6be7707bab16a15b9c6732d7f13f2ac450d4c6d4048ce7914/ampr-ripd-2.4.1.tgz,a4921706089c3a5bb37f7f13f489eb58359575997a417e71ebe130bf7b6789a2,,ampr-ripd-2.4.1.tgz,http:,http://www.yo2loj.ro/hamprojects/ampr-ripd-2.4.1.tgz,b77edc7dd578da3db25c46174423832674990215aeac6f4a4f1995afe6a2c328,,false,false,tgz,0,1,very_suspicious,
anaconda-realmd,https://src.fedoraproject.org/repo/pkgs/anaconda-realmd/anaconda-realmd-0.2.tgz/md5/31f11330de6203167498937602fd0b3c/anaconda-realmd-0.2.tgz,1bcaadf02fecb5c93d7d0c26e043a49dbbbd70eb8a20d9d636ca8a663f8c4597,,anaconda-realmd-0.2.tgz,https:,https://fedorahosted.org/releases/a/n/anaconda-realmd/anaconda-realmd-0.2.tgz,c3e10c2592aa31a2d2d4d0e5afdddcd5d7f9c9d97354ac3238c689141d424dd9,,false,false,tgz,0,1,very_suspicious,
anagramarama,https://src.fedoraproject.org/repo/pkgs/anagramarama/anagramarama-0.7.tgz/sha512/dc610c37d5cf70f5560494f3ec8af21af5f208b3047574dabda87a92a99144b2be1227879e58543de884c216019a390c44622b7a2c7476d94151399236799d54/anagramarama-0.7.tgz,112f0c7740d50af8371dc8a76922b32125309f2ef6173df652298d7b23f06923,,anagramarama-0.7.tgz,http:,http://identicalsoftware.com/anagramarama//anagramarama-0.7.tgz,6e71b0dd967dbc6824ee1847b3609ef52b72870a76038e9f71235c57ba2ca659,,false,false,tgz,0,1,very_suspicious,
ansible-lint,https://src.fedoraproject.org/repo/pkgs/ansible-lint/ansible-lint-24.7.0.tar.gz/sha512/434eff959ffcfdadeaddebcf1ce4a2ab63f09a5ac4d89412a17558899ef9614d0176794ebc6fce73c2db5fc97ba8f4ad1a334209acbde6ae6c44c1b65e08aa7d/ansible-lint-24.7.0.tar.gz,84568111e0ff9c93504b61a75b061a5ea6c91314f4b0b7febebc479284b1c826,,ansible-lint-24.7.0.tar.gz,https:,https://github.com/ansible/ansible-lint/archive/refs/tags/v24.7.0.tar.gz#/ansible-lint-24.7.0.tar.gz,1a829dcd942e726f6e08e98a697900b9e7daa798144135b149340fedbae5963c,,false,false,tar.gz,0,1,very_suspicious,
aom,https://src.fedoraproject.org/repo/pkgs/aom/aom-3.9.0.tar.gz/sha512/e070b5078d69bced62ff1f2329639fff6218d2dcd0724618b93fd7a06e351fdb26933787e4c624999735e913476d14db3f386c4d66693d1c37b29124c97af0ff/aom-3.9.0.tar.gz,bb4706254d4e642dd9a94e217c89d85e7d307077d742997804bdba642967b25a,,aom-3.9.0.tar.gz,https:,https://aomedia.googlesource.com/aom/+archive/v3.9.0.tar.gz#/aom-3.9.0.tar.gz,329698a312ac7969cddb078fb4c379d9e53b4b00dbd017fc7f19ab6be60cc442,,false,false,tar.gz,0,1,very_suspicious,
aprsdigi,https://src.fedoraproject.org/repo/pkgs/aprsdigi/aprsdigi-3.5.1.tar.gz/md5/6201d52a44ca19fde8fcdfe2eed2ccb0/aprsdigi-3.5.1.tar.gz,fff28052d0d93d136fe8d66fadf134c037156c0196933bf9c0a798276e0c3344,,aprsdigi-3.5.1.tar.gz,https:,https://github.com/n2ygk/aprsdigi/archive/3.5.1.tar.gz#/aprsdigi-3.5.1.tar.gz,50043b32ec52a455ccc25af59425573ca871a7034652bd1a7045a95900e26a9e,,false,false,tar.gz,0,1,very_suspicious,
argus,https://src.fedoraproject.org/repo/pkgs/argus/argus-3.0.8.2.tar.gz/md5/eaf5f5ec66569e556392802a70ef9ca5/argus-3.0.8.2.tar.gz,ca4e3bd5b9d4a8ff7c01cc96d1bffd46dbd6321237ec94c52f8badd51032eeff,,argus-3.0.8.2.tar.gz,http:,http://qosient.com/argus/src/argus-3.0.8.2.tar.gz,8badd82aab3d5358bfe2e988ec2bb3c306888d9820ea2488a4103e6b67d4307e,,false,false,tar.gz,0,1,very_suspicious,
argyllcms,https://src.fedoraproject.org/repo/pkgs/argyllcms/argyllcms-3.2.0.zip/sha512/f667762f58885588ec685f400f5afa92749f4c427ae7142df3d8d3c266ef1423f38157c250eacfc4ef8506ef53257fd5d98bca48856c03bc9901bf6a603d3d60/argyllcms-3.2.0.zip,ea554c48a1d36f8a089ac860cc5b4d00536b7511948aa2c4c4314e07be8b7bb8,,argyllcms-3.2.0.zip,https:,https://www.argyllcms.com/Argyll_V3.2.0_src.zip#/argyllcms-3.2.0.zip,4861ab87b41618fb6706843099aad2cc649115634dee1e60738792387b371176,,false,false,zip,0,1,very_suspicious,
arrows,https://src.fedoraproject.org/repo/pkgs/arrows/arrows-0.6.tar.gz/md5/d6cf52ff319c295b9fb6982c023ec7f0/arrows-0.6.tar.gz,a8d18e1798d23c26e4d0330db745356d01cc4a3231b669643e08e426eb842d3f,,arrows-0.6.tar.gz,http:,http://noreason.ca/data/arrows-0.6.tar.gz,0ebb72830b480fd15ed4ec956ab32fdc6b9628c9594713bed432954c167f117d,,false,false,tar.gz,0,1,very_suspicious,
ascii,https://src.fedoraproject.org/repo/pkgs/ascii/ascii-3.30.tar.gz/sha512/1096afac6aaa043c4ecf7f3f9a010edcec3caefc980fd44a3e613aad579d838f5be0fc6a31bb3fdd680a102885f34fcf3cd5ea50739ef134e9eb929a18e7fdce/ascii-3.30.tar.gz,ed2fdc973e1b87da2af83050e560e731b0f3bf5f6b4fd9babc9f60bb2b992443,,ascii-3.30.tar.gz,http:,http://www.catb.org/~esr/ascii/ascii-3.30.tar.gz,735fad3626f39aa86732307b7e511975abddfef438b08fdc1518e9f421659fee,,false,false,tar.gz,0,1,very_suspicious,
asciiquarium,https://src.fedoraproject.org/repo/pkgs/asciiquarium/asciiquarium_1.1.tar.gz/md5/5e79a700bf014cf6947cc93a36e2d6d1/asciiquarium_1.1.tar.gz,1b08c6613525e75e87546f4e8984ab3b33f1e922080268c749f1777d56c9d361,,asciiquarium_1.1.tar.gz,http:,http://www.robobunny.com/projects/asciiquarium/asciiquarium_1.1.tar.gz,dc804ceade4e0aa6c881cdecc601f5b35540662f9c51c585e5a231408db766b2,,false,false,tar.gz,0,1,very_suspicious,
